Palabras: fkbdksjihpsldkwrmjpgiyhmfkgrejcjvfnfxyqgpiruupmgbbmjbwvgibxmnbwihlqglinasgwmwivzljimhguphsewvafcnxjafyazewnchkbswmfdszvbtzypbftqccqjaskhqxjxinqezxjtyguuhulkbeafhsojkaqdycaipsmqrxjsefmlczwddyjkrzwdamgaojifduvxtgpxodlschvfhgsaioekcmktxsadowahephussmwbk, disvjalpkqdwldqlgehgoovxippvnqhqazmlazampgjajzmpgvxwlutujkryayocxcozcqotyxwhykygfverpxnajeyjepobrcdturptqlaqvbxcybvqbiskotwsikwzobviskbkveasfxwfbsvecqotjmnrwjsmknvexwoucpojolppfmvjckcnwqevbxjomesmdjgfyxpoiggpubyxndkmtrhwqqkcxfocoxhouycegktbmtazwklrdu
Longitudes: S1=250 S2=250 S1+S2=500
Distancia mínima de edición: 221
Tiempo de ejecución (segundos): 0.00297787
Operaciones necesarias para la distancia mínima de edición:
Eliminación en posición 0 de f | Costo: 1
Sustitución en posición 72: s -> y | Costo: 1
Sustitución en posición 73: g -> o | Costo: 1
Sustitución en posición 74: w -> c | Costo: 1
Sustitución en posición 75: m -> x | Costo: 1
Sustitución en posición 76: w -> c | Costo: 1
Sustitución en posición 77: i -> o | Costo: 1
Sustitución en posición 78: v -> z | Costo: 1
Sustitución en posición 79: z -> c | Costo: 1
Sustitución en posición 80: l -> q | Costo: 1
Sustitución en posición 81: j -> o | Costo: 1
Sustitución en posición 82: i -> t | Costo: 1
Sustitución en posición 83: m -> y | Costo: 1
Sustitución en posición 84: h -> x | Costo: 1
Sustitución en posición 85: g -> w | Costo: 1
Sustitución en posición 86: u -> h | Costo: 1
Sustitución en posición 87: p -> y | Costo: 1
Sustitución en posición 88: h -> k | Costo: 1
Sustitución en posición 89: s -> y | Costo: 1
Sustitución en posición 90: e -> g | Costo: 1
Sustitución en posición 91: w -> f | Costo: 1
Sustitución en posición 93: a -> e | Costo: 1
Sustitución en posición 94: f -> r | Costo: 1
Sustitución en posición 95: c -> p | Costo: 1
Transposición en posiciones 96 y 97: n <-> x | Costo: 1
Transposición en posiciones 98 y 99: j <-> a | Costo: 1
Sustitución en posición 100: f -> e | Costo: 1
Inserción en posición 91 de j | Costo: 1
Sustitución en posición 102: a -> e | Costo: 1
Sustitución en posición 103: z -> p | Costo: 1
Sustitución en posición 104: e -> o | Costo: 1
Sustitución en posición 105: w -> b | Costo: 1
Sustitución en posición 106: n -> r | Costo: 1
Sustitución en posición 108: h -> d | Costo: 1
Sustitución en posición 109: k -> t | Costo: 1
Sustitución en posición 110: b -> u | Costo: 1
Sustitución en posición 111: s -> r | Costo: 1
Sustitución en posición 112: w -> p | Costo: 1
Sustitución en posición 113: m -> t | Costo: 1
Sustitución en posición 114: f -> q | Costo: 1
Sustitución en posición 115: d -> l | Costo: 1
Sustitución en posición 116: s -> a | Costo: 1
Sustitución en posición 117: z -> q | Costo: 1
Sustitución en posición 120: t -> x | Costo: 1
Sustitución en posición 121: z -> c | Costo: 1
Eliminación en posición 123 de p | Costo: 1
Eliminación en posición 125 de f | Costo: 1
Eliminación en posición 126 de t | Costo: 1
Eliminación en posición 127 de q | Costo: 1
Eliminación en posición 128 de c | Costo: 1
Sustitución en posición 129: c -> v | Costo: 1
Sustitución en posición 131: j -> b | Costo: 1
Sustitución en posición 132: a -> i | Costo: 1
Eliminación en posición 135 de h | Costo: 1
Sustitución en posición 136: q -> o | Costo: 1
Sustitución en posición 137: x -> t | Costo: 1
Sustitución en posición 138: j -> w | Costo: 1
Sustitución en posición 139: x -> s | Costo: 1
Eliminación en posición 141 de n | Costo: 1
Sustitución en posición 142: q -> k | Costo: 1
Sustitución en posición 143: e -> w | Costo: 1
Eliminación en posición 145 de x | Costo: 1
Eliminación en posición 146 de j | Costo: 1
Eliminación en posición 147 de t | Costo: 1
Sustitución en posición 148: y -> o | Costo: 1
Sustitución en posición 149: g -> b | Costo: 1
Sustitución en posición 150: u -> v | Costo: 1
Sustitución en posición 151: u -> i | Costo: 1
Sustitución en posición 152: h -> s | Costo: 1
Sustitución en posición 153: u -> k | Costo: 1
Sustitución en posición 154: l -> b | Costo: 1
Sustitución en posición 156: b -> v | Costo: 1
Eliminación en posición 159 de f | Costo: 1
Sustitución en posición 160: h -> s | Costo: 1
Sustitución en posición 161: s -> f | Costo: 1
Sustitución en posición 162: o -> x | Costo: 1
Sustitución en posición 163: j -> w | Costo: 1
Sustitución en posición 164: k -> f | Costo: 1
Sustitución en posición 165: a -> b | Costo: 1
Sustitución en posición 166: q -> s | Costo: 1
Sustitución en posición 167: d -> v | Costo: 1
Sustitución en posición 168: y -> e | Costo: 1
Sustitución en posición 170: a -> q | Costo: 1
Sustitución en posición 171: i -> o | Costo: 1
Sustitución en posición 172: p -> t | Costo: 1
Sustitución en posición 173: s -> j | Costo: 1
Sustitución en posición 175: q -> n | Costo: 1
Sustitución en posición 177: x -> w | Costo: 1
Inserción en posición 159 de m | Costo: 1
Inserción en posición 160 de k | Costo: 1
Inserción en posición 161 de n | Costo: 1
Inserción en posición 162 de v | Costo: 1
Inserción en posición 164 de x | Costo: 1
Sustitución en posición 181: f -> w | Costo: 1
Sustitución en posición 182: m -> o | Costo: 1
Sustitución en posición 183: l -> u | Costo: 1
Inserción en posición 169 de p | Costo: 1
Inserción en posición 170 de o | Costo: 1
Inserción en posición 171 de j | Costo: 1
Inserción en posición 172 de o | Costo: 1
Inserción en posición 173 de l | Costo: 1
Sustitución en posición 185: z -> p | Costo: 1
Sustitución en posición 186: w -> p | Costo: 1
Sustitución en posición 187: d -> f | Costo: 1
Sustitución en posición 188: d -> m | Costo: 1
Sustitución en posición 189: y -> v | Costo: 1
Inserción en posición 180 de c | Costo: 1
Sustitución en posición 192: r -> c | Costo: 1
Sustitución en posición 193: z -> n | Costo: 1
Inserción en posición 185 de q | Costo: 1
Inserción en posición 186 de e | Costo: 1
Inserción en posición 187 de v | Costo: 1
Inserción en posición 188 de b | Costo: 1
Inserción en posición 189 de x | Costo: 1
Sustitución en posición 195: d -> j | Costo: 1
Sustitución en posición 196: a -> o | Costo: 1
Inserción en posición 193 de e | Costo: 1
Sustitución en posición 198: g -> s | Costo: 1
Sustitución en posición 199: a -> m | Costo: 1
Sustitución en posición 200: o -> d | Costo: 1
Sustitución en posición 202: i -> g | Costo: 1
Inserción en posición 200 de y | Costo: 1
Sustitución en posición 204: d -> x | Costo: 1
Sustitución en posición 205: u -> p | Costo: 1
Sustitución en posición 206: v -> o | Costo: 1
Sustitución en posición 207: x -> i | Costo: 1
Sustitución en posición 208: t -> g | Costo: 1
Inserción en posición 208 de u | Costo: 1
Inserción en posición 209 de b | Costo: 1
Inserción en posición 210 de y | Costo: 1
Sustitución en posición 212: o -> n | Costo: 1
Inserción en posición 214 de k | Costo: 1
Sustitución en posición 214: l -> m | Costo: 1
Sustitución en posición 215: s -> t | Costo: 1
Sustitución en posición 216: c -> r | Costo: 1
Sustitución en posición 218: v -> w | Costo: 1
Sustitución en posición 219: f -> q | Costo: 1
Sustitución en posición 220: h -> q | Costo: 1
Sustitución en posición 221: g -> k | Costo: 1
Sustitución en posición 222: s -> c | Costo: 1
Sustitución en posición 223: a -> x | Costo: 1
Sustitución en posición 224: i -> f | Costo: 1
Eliminación en posición 226 de e | Costo: 1
Sustitución en posición 227: k -> c | Costo: 1
Sustitución en posición 228: c -> o | Costo: 1
Sustitución en posición 229: m -> x | Costo: 1
Sustitución en posición 230: k -> h | Costo: 1
Sustitución en posición 231: t -> o | Costo: 1
Sustitución en posición 232: x -> u | Costo: 1
Sustitución en posición 233: s -> y | Costo: 1
Sustitución en posición 234: a -> c | Costo: 1
Sustitución en posición 235: d -> e | Costo: 1
Sustitución en posición 236: o -> g | Costo: 1
Sustitución en posición 237: w -> k | Costo: 1
Sustitución en posición 238: a -> t | Costo: 1
Sustitución en posición 239: h -> b | Costo: 1
Sustitución en posición 240: e -> m | Costo: 1
Sustitución en posición 241: p -> t | Costo: 1
Sustitución en posición 242: h -> a | Costo: 1
Sustitución en posición 243: u -> z | Costo: 1
Sustitución en posición 244: s -> w | Costo: 1
Sustitución en posición 245: s -> k | Costo: 1
Sustitución en posición 246: m -> l | Costo: 1
Sustitución en posición 247: w -> r | Costo: 1
Sustitución en posición 248: b -> d | Costo: 1
Sustitución en posición 249: k -> u | Costo: 1
--------------------------------------

Palabras: otnawmfkovjxjdyoheychmwhouuzmxwcrlcpxkblflirogfynfauuycitwjfvfjmqndnxfafsjwirdgekjzehdmczwjwdslugojfvmknviwoletynucxxrzynjuqdfmlwyrrkbhhmfxxjsvzmaylrzlgkiyoplzllqfxuoegtbfcuddifbwwbjcnrabjndwyvbxrpbxkffnbkslpwhlzrpmkrqtftsfotdglgfvnkkowfalbjwacnopfekkxcroywwjdbgqorhkyhwzsubvipmpwwbvzsjxpfiujokxhrjfafgvchsmzebxacszucyljgfsxsrglbmmiuhkczwdfzafbuhyyhjiorcnjutuvhifcrqgsolxondphmngtzqjqswbosxlzgrdzhlsxwpljudtgsbarrjjlikaailbqcfplqhlpzyatbtauucnnlzzvjzvtmzlrebewkpnjoofrjfnehdtucsqnrnhgmuxsvbritetjsyae, dqimtbjvwbiporvdosvlwmtrrnallcprszfldqizrtoimklaegmcvhtoutziwrbqsicvzmwqfnyuzjufsiipqbdmxeuvvxlqgpnhckxjxyfyjadbklsapvnmajhxjunpkdyonvzmtfkfhnirbbuqwjeysnybhnstqqhdojrjqdoxrxqsakkwtoxobvriimebelgswyembulurcotoyskopapmraudexkrecocicfdoawsqqgrisfxsxlmzhpdfbwjemnmpsrfuoxnedeoyjnqiychfumkvjtbxgqmbhrxvokbuopsackianqgjcqenmgluyzxftvbjhedwuxwwigxxyfgbxmqjubgsbdyuabfifjezicyskxrjczkbmalierbhwbdxcifjtllcnjwziqikpundxymbrniqonnsvubpfmtuxrtfhcrxwfatfowzbgprtclpwpgdbbxbsqicuazthbomqllttanneyecnmfrneuhxclrcm
Longitudes: S1=500 S2=500 S1+S2=1000
Distancia mínima de edición: 447
Tiempo de ejecución (segundos): 0.0121219
Operaciones necesarias para la distancia mínima de edición:
Eliminación en posición 0 de o | Costo: 1
Eliminación en posición 1 de t | Costo: 1
Sustitución en posición 2: n -> d | Costo: 1
Sustitución en posición 3: a -> q | Costo: 1
Sustitución en posición 4: w -> i | Costo: 1
Sustitución en posición 6: f -> t | Costo: 1
Sustitución en posición 7: k -> b | Costo: 1
Sustitución en posición 8: o -> j | Costo: 1
Eliminación en posición 10 de j | Costo: 1
Sustitución en posición 11: x -> w | Costo: 1
Sustitución en posición 12: j -> b | Costo: 1
Sustitución en posición 13: d -> i | Costo: 1
Sustitución en posición 14: y -> p | Costo: 1
Eliminación en posición 16 de h | Costo: 1
Eliminación en posición 17 de e | Costo: 1
Sustitución en posición 18: y -> r | Costo: 1
Sustitución en posición 19: c -> v | Costo: 1
Sustitución en posición 20: h -> d | Costo: 1
Sustitución en posición 21: m -> o | Costo: 1
Sustitución en posición 22: w -> s | Costo: 1
Sustitución en posición 23: h -> v | Costo: 1
Sustitución en posición 24: o -> l | Costo: 1
Sustitución en posición 25: u -> w | Costo: 1
Sustitución en posición 26: u -> m | Costo: 1
Sustitución en posición 27: z -> t | Costo: 1
Sustitución en posición 28: m -> r | Costo: 1
Sustitución en posición 29: x -> r | Costo: 1
Sustitución en posición 30: w -> n | Costo: 1
Sustitución en posición 31: c -> a | Costo: 1
Sustitución en posición 32: r -> l | Costo: 1
Inserción en posición 31 de r | Costo: 1
Sustitución en posición 36: x -> s | Costo: 1
Sustitución en posición 37: k -> z | Costo: 1
Sustitución en posición 38: b -> f | Costo: 1
Sustitución en posición 40: f -> d | Costo: 1
Sustitución en posición 41: l -> q | Costo: 1
Inserción en posición 39 de z | Costo: 1
Inserción en posición 41 de t | Costo: 1
Inserción en posición 43 de i | Costo: 1
Inserción en posición 44 de m | Costo: 1
Inserción en posición 45 de k | Costo: 1
Inserción en posición 46 de l | Costo: 1
Inserción en posición 47 de a | Costo: 1
Inserción en posición 48 de e | Costo: 1
Sustitución en posición 46: f -> m | Costo: 1
Sustitución en posición 47: y -> c | Costo: 1
Sustitución en posición 48: n -> v | Costo: 1
Sustitución en posición 49: f -> h | Costo: 1
Sustitución en posición 50: a -> t | Costo: 1
Sustitución en posición 51: u -> o | Costo: 1
Sustitución en posición 53: y -> t | Costo: 1
Sustitución en posición 54: c -> z | Costo: 1
Inserción en posición 60 de w | Costo: 1
Inserción en posición 61 de r | Costo: 1
Inserción en posición 62 de b | Costo: 1
Sustitución en posición 56: t -> q | Costo: 1
Sustitución en posición 57: w -> s | Costo: 1
Sustitución en posición 58: j -> i | Costo: 1
Sustitución en posición 59: f -> c | Costo: 1
Sustitución en posición 61: f -> z | Costo: 1
Sustitución en posición 62: j -> m | Costo: 1
Sustitución en posición 63: m -> w | Costo: 1
Inserción en posición 72 de f | Costo: 1
Sustitución en posición 66: d -> y | Costo: 1
Sustitución en posición 67: n -> u | Costo: 1
Sustitución en posición 68: x -> z | Costo: 1
Sustitución en posición 69: f -> j | Costo: 1
Sustitución en posición 70: a -> u | Costo: 1
Inserción en posición 81 de i | Costo: 1
Sustitución en posición 73: j -> i | Costo: 1
Sustitución en posición 74: w -> p | Costo: 1
Sustitución en posición 75: i -> q | Costo: 1
Sustitución en posición 76: r -> b | Costo: 1
Inserción en posición 87 de m | Costo: 1
Sustitución en posición 78: g -> x | Costo: 1
Sustitución en posición 80: k -> u | Costo: 1
Sustitución en posición 81: j -> v | Costo: 1
Sustitución en posición 82: z -> v | Costo: 1
Sustitución en posición 83: e -> x | Costo: 1
Sustitución en posición 84: h -> l | Costo: 1
Sustitución en posición 85: d -> q | Costo: 1
Sustitución en posición 86: m -> g | Costo: 1
Sustitución en posición 87: c -> p | Costo: 1
Sustitución en posición 88: z -> n | Costo: 1
Sustitución en posición 89: w -> h | Costo: 1
Sustitución en posición 90: j -> c | Costo: 1
Sustitución en posición 91: w -> k | Costo: 1
Sustitución en posición 92: d -> x | Costo: 1
Sustitución en posición 93: s -> j | Costo: 1
Sustitución en posición 94: l -> x | Costo: 1
Sustitución en posición 95: u -> y | Costo: 1
Sustitución en posición 96: g -> f | Costo: 1
Sustitución en posición 97: o -> y | Costo: 1
Sustitución en posición 99: f -> a | Costo: 1
Sustitución en posición 100: v -> d | Costo: 1
Sustitución en posición 101: m -> b | Costo: 1
Inserción en posición 113 de l | Costo: 1
Inserción en posición 114 de s | Costo: 1
Sustitución en posición 103: n -> a | Costo: 1
Sustitución en posición 104: v -> p | Costo: 1
Sustitución en posición 105: i -> v | Costo: 1
Sustitución en posición 106: w -> n | Costo: 1
Sustitución en posición 107: o -> m | Costo: 1
Sustitución en posición 108: l -> a | Costo: 1
Sustitución en posición 109: e -> j | Costo: 1
Sustitución en posición 110: t -> h | Costo: 1
Sustitución en posición 111: y -> x | Costo: 1
Sustitución en posición 112: n -> j | Costo: 1
Sustitución en posición 114: c -> n | Costo: 1
Sustitución en posición 115: x -> p | Costo: 1
Sustitución en posición 116: x -> k | Costo: 1
Sustitución en posición 117: r -> d | Costo: 1
Sustitución en posición 118: z -> y | Costo: 1
Sustitución en posición 119: y -> o | Costo: 1
Sustitución en posición 121: j -> v | Costo: 1
Sustitución en posición 122: u -> z | Costo: 1
Sustitución en posición 123: q -> m | Costo: 1
Sustitución en posición 124: d -> t | Costo: 1
Sustitución en posición 126: m -> k | Costo: 1
Sustitución en posición 127: l -> f | Costo: 1
Sustitución en posición 128: w -> h | Costo: 1
Sustitución en posición 129: y -> n | Costo: 1
Sustitución en posición 130: r -> i | Costo: 1
Eliminación en posición 132 de k | Costo: 1
Eliminación en posición 134 de h | Costo: 1
Eliminación en posición 135 de h | Costo: 1
Sustitución en posición 136: m -> b | Costo: 1
Sustitución en posición 137: f -> u | Costo: 1
Sustitución en posición 138: x -> q | Costo: 1
Sustitución en posición 139: x -> w | Costo: 1
Eliminación en posición 141 de s | Costo: 1
Sustitución en posición 142: v -> e | Costo: 1
Sustitución en posición 143: z -> y | Costo: 1
Sustitución en posición 144: m -> s | Costo: 1
Sustitución en posición 145: a -> n | Costo: 1
Eliminación en posición 147 de l | Costo: 1
Sustitución en posición 148: r -> b | Costo: 1
Sustitución en posición 149: z -> h | Costo: 1
Sustitución en posición 150: l -> n | Costo: 1
Sustitución en posición 151: g -> s | Costo: 1
Sustitución en posición 152: k -> t | Costo: 1
Sustitución en posición 153: i -> q | Costo: 1
Sustitución en posición 154: y -> q | Costo: 1
Sustitución en posición 155: o -> h | Costo: 1
Sustitución en posición 156: p -> d | Costo: 1
Sustitución en posición 157: l -> o | Costo: 1
Sustitución en posición 158: z -> j | Costo: 1
Sustitución en posición 159: l -> r | Costo: 1
Sustitución en posición 160: l -> j | Costo: 1
Sustitución en posición 162: f -> d | Costo: 1
Sustitución en posición 163: x -> o | Costo: 1
Sustitución en posición 164: u -> x | Costo: 1
Sustitución en posición 165: o -> r | Costo: 1
Sustitución en posición 166: e -> x | Costo: 1
Sustitución en posición 167: g -> q | Costo: 1
Sustitución en posición 168: t -> s | Costo: 1
Sustitución en posición 169: b -> a | Costo: 1
Sustitución en posición 170: f -> k | Costo: 1
Sustitución en posición 171: c -> k | Costo: 1
Sustitución en posición 172: u -> w | Costo: 1
Sustitución en posición 173: d -> t | Costo: 1
Sustitución en posición 174: d -> o | Costo: 1
Sustitución en posición 175: i -> x | Costo: 1
Sustitución en posición 176: f -> o | Costo: 1
Eliminación en posición 178 de w | Costo: 1
Sustitución en posición 179: w -> v | Costo: 1
Sustitución en posición 180: b -> r | Costo: 1
Sustitución en posición 181: j -> i | Costo: 1
Sustitución en posición 182: c -> i | Costo: 1
Sustitución en posición 183: n -> m | Costo: 1
Sustitución en posición 184: r -> e | Costo: 1
Sustitución en posición 185: a -> b | Costo: 1
Sustitución en posición 186: b -> e | Costo: 1
Sustitución en posición 187: j -> l | Costo: 1
Sustitución en posición 188: n -> g | Costo: 1
Sustitución en posición 189: d -> s | Costo: 1
Inserción en posición 198 de e | Costo: 1
Sustitución en posición 192: v -> m | Costo: 1
Sustitución en posición 194: x -> u | Costo: 1
Sustitución en posición 195: r -> l | Costo: 1
Sustitución en posición 196: p -> u | Costo: 1
Sustitución en posición 197: b -> r | Costo: 1
Sustitución en posición 198: x -> c | Costo: 1
Sustitución en posición 199: k -> o | Costo: 1
Sustitución en posición 200: f -> t | Costo: 1
Sustitución en posición 201: f -> o | Costo: 1
Sustitución en posición 202: n -> y | Costo: 1
Sustitución en posición 203: b -> s | Costo: 1
Inserción en posición 212 de o | Costo: 1
Sustitución en posición 205: s -> p | Costo: 1
Sustitución en posición 206: l -> a | Costo: 1
Sustitución en posición 208: w -> m | Costo: 1
Sustitución en posición 209: h -> r | Costo: 1
Sustitución en posición 210: l -> a | Costo: 1
Sustitución en posición 211: z -> u | Costo: 1
Sustitución en posición 212: r -> d | Costo: 1
Sustitución en posición 213: p -> e | Costo: 1
Sustitución en posición 214: m -> x | Costo: 1
Inserción en posición 225 de e | Costo: 1
Sustitución en posición 217: q -> c | Costo: 1
Sustitución en posición 218: t -> o | Costo: 1
Sustitución en posición 219: f -> c | Costo: 1
Sustitución en posición 220: t -> i | Costo: 1
Sustitución en posición 221: s -> c | Costo: 1
Inserción en posición 232 de d | Costo: 1
Inserción en posición 234 de a | Costo: 1
Inserción en posición 235 de w | Costo: 1
Inserción en posición 236 de s | Costo: 1
Sustitución en posición 224: t -> q | Costo: 1
Sustitución en posición 225: d -> q | Costo: 1
Inserción en posición 240 de r | Costo: 1
Sustitución en posición 227: l -> i | Costo: 1
Sustitución en posición 228: g -> s | Costo: 1
Inserción en posición 244 de x | Costo: 1
Sustitución en posición 230: v -> s | Costo: 1
Sustitución en posición 231: n -> x | Costo: 1
Sustitución en posición 232: k -> l | Costo: 1
Sustitución en posición 233: k -> m | Costo: 1
Sustitución en posición 234: o -> z | Costo: 1
Sustitución en posición 235: w -> h | Costo: 1
Sustitución en posición 236: f -> p | Costo: 1
Sustitución en posición 237: a -> d | Costo: 1
Sustitución en posición 238: l -> f | Costo: 1
Transposición en posiciones 240 y 241: j <-> w | Costo: 1
Sustitución en posición 242: a -> e | Costo: 1
Sustitución en posición 243: c -> m | Costo: 1
Sustitución en posición 245: o -> m | Costo: 1
Inserción en posición 262 de s | Costo: 1
Sustitución en posición 247: f -> r | Costo: 1
Sustitución en posición 248: e -> f | Costo: 1
Sustitución en posición 249: k -> u | Costo: 1
Sustitución en posición 250: k -> o | Costo: 1
Sustitución en posición 252: c -> n | Costo: 1
Sustitución en posición 253: r -> e | Costo: 1
Sustitución en posición 254: o -> d | Costo: 1
Sustitución en posición 255: y -> e | Costo: 1
Sustitución en posición 256: w -> o | Costo: 1
Sustitución en posición 257: w -> y | Costo: 1
Eliminación en posición 259 de d | Costo: 1
Sustitución en posición 260: b -> n | Costo: 1
Sustitución en posición 261: g -> q | Costo: 1
Sustitución en posición 262: q -> i | Costo: 1
Sustitución en posición 263: o -> y | Costo: 1
Sustitución en posición 264: r -> c | Costo: 1
Sustitución en posición 266: k -> f | Costo: 1
Sustitución en posición 267: y -> u | Costo: 1
Sustitución en posición 268: h -> m | Costo: 1
Sustitución en posición 269: w -> k | Costo: 1
Sustitución en posición 270: z -> v | Costo: 1
Sustitución en posición 271: s -> j | Costo: 1
Sustitución en posición 272: u -> t | Costo: 1
Sustitución en posición 274: v -> x | Costo: 1
Sustitución en posición 275: i -> g | Costo: 1
Sustitución en posición 276: p -> q | Costo: 1
Sustitución en posición 278: p -> b | Costo: 1
Sustitución en posición 279: w -> h | Costo: 1
Sustitución en posición 280: w -> r | Costo: 1
Sustitución en posición 281: b -> x | Costo: 1
Inserción en posición 298 de o | Costo: 1
Sustitución en posición 283: z -> k | Costo: 1
Sustitución en posición 284: s -> b | Costo: 1
Sustitución en posición 285: j -> u | Costo: 1
Sustitución en posición 286: x -> o | Costo: 1
Sustitución en posición 288: f -> s | Costo: 1
Sustitución en posición 289: i -> a | Costo: 1
Sustitución en posición 290: u -> c | Costo: 1
Sustitución en posición 291: j -> k | Costo: 1
Sustitución en posición 292: o -> i | Costo: 1
Sustitución en posición 293: k -> a | Costo: 1
Sustitución en posición 294: x -> n | Costo: 1
Sustitución en posición 295: h -> q | Costo: 1
Sustitución en posición 296: r -> g | Costo: 1
Inserción en posición 314 de c | Costo: 1
Inserción en posición 315 de q | Costo: 1
Sustitución en posición 298: f -> e | Costo: 1
Sustitución en posición 299: a -> n | Costo: 1
Sustitución en posición 300: f -> m | Costo: 1
Inserción en posición 320 de l | Costo: 1
Sustitución en posición 302: v -> u | Costo: 1
Sustitución en posición 303: c -> y | Costo: 1
Sustitución en posición 304: h -> z | Costo: 1
Sustitución en posición 305: s -> x | Costo: 1
Sustitución en posición 306: m -> f | Costo: 1
Sustitución en posición 307: z -> t | Costo: 1
Sustitución en posición 308: e -> v | Costo: 1
Sustitución en posición 310: x -> j | Costo: 1
Sustitución en posición 311: a -> h | Costo: 1
Sustitución en posición 312: c -> e | Costo: 1
Sustitución en posición 313: s -> d | Costo: 1
Sustitución en posición 314: z -> w | Costo: 1
Sustitución en posición 316: c -> x | Costo: 1
Sustitución en posición 317: y -> w | Costo: 1
Sustitución en posición 318: l -> w | Costo: 1
Sustitución en posición 319: j -> i | Costo: 1
Eliminación en posición 321 de f | Costo: 1
Sustitución en posición 322: s -> x | Costo: 1
Sustitución en posición 324: s -> y | Costo: 1
Sustitución en posición 325: r -> f | Costo: 1
Eliminación en posición 327 de l | Costo: 1
Sustitución en posición 329: m -> x | Costo: 1
Sustitución en posición 331: i -> q | Costo: 1
Sustitución en posición 332: u -> j | Costo: 1
Sustitución en posición 333: h -> u | Costo: 1
Sustitución en posición 334: k -> b | Costo: 1
Sustitución en posición 335: c -> g | Costo: 1
Sustitución en posición 336: z -> s | Costo: 1
Sustitución en posición 337: w -> b | Costo: 1
Sustitución en posición 339: f -> y | Costo: 1
Sustitución en posición 340: z -> u | Costo: 1
Inserción en posición 359 de b | Costo: 1
Sustitución en posición 343: b -> i | Costo: 1
Sustitución en posición 344: u -> f | Costo: 1
Sustitución en posición 345: h -> j | Costo: 1
Sustitución en posición 346: y -> e | Costo: 1
Sustitución en posición 347: y -> z | Costo: 1
Sustitución en posición 348: h -> i | Costo: 1
